Aem epsI3 epsA omega0 a0 chi res
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 9.00000e+00 8.59000e+01 9.20803e-17
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 9.00000e+00 8.59000e+01 1.20790e-16
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 9.00000e+00 8.59000e+01 1.35596e-16
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 9.00000e+00 8.59000e+01 1.67859e-16
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 9.00000e+00 8.59000e+01 2.51994e-16
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 9.00000e+00 8.59000e+01 3.61755e-16
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 9.00000e+00 8.59000e+01 5.45589e-16
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 9.00000e+00 8.59000e+01 8.42733e-16
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 9.00000e+00 8.59000e+01 1.33754e-15
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 9.00000e+00 8.59000e+01 2.17137e-15
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 9.00000e+00 8.59000e+01 3.48193e-15
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 9.00000e+00 8.59000e+01 5.75709e-15
1.05998e+02 -2.00000e-06 4.83293e-09 6.28319e+02 9.00000e+00 8.59000e+01 9.50050e-15
1.35071e+02 -2.00000e-06 6.15848e-09 6.28319e+02 9.00000e+00 8.59000e+01 1.58088e-14
1.72117e+02 -2.00000e-06 7.84760e-09 6.28319e+02 9.00000e+00 8.59000e+01 2.64519e-14
2.19325e+02 -2.00000e-06 1.00000e-08 6.28319e+02 9.00000e+00 8.59000e+01 4.51104e-14
2.19325e+00 -2.00000e-06 1.00000e-10 6.28319e+02 1.00000e+01 8.59000e+01 1.61850e-16
2.79480e+00 -2.00000e-06 1.27427e-10 6.28319e+02 1.00000e+01 8.59000e+01 1.66847e-16
3.56134e+00 -2.00000e-06 1.62378e-10 6.28319e+02 1.00000e+01 8.59000e+01 1.74827e-16
4.53813e+00 -2.00000e-06 2.06914e-10 6.28319e+02 1.00000e+01 8.59000e+01 1.87645e-16
5.78282e+00 -2.00000e-06 2.63665e-10 6.28319e+02 1.00000e+01 8.59000e+01 2.18052e-16
7.36891e+00 -2.00000e-06 3.35982e-10 6.28319e+02 1.00000e+01 8.59000e+01 2.48698e-16
9.39001e+00 -2.00000e-06 4.28133e-10 6.28319e+02 1.00000e+01 8.59000e+01 2.89056e-16
1.19655e+01 -2.00000e-06 5.45559e-10 6.28319e+02 1.00000e+01 8.59000e+01 4.05981e-16
1.52473e+01 -2.00000e-06 6.95193e-10 6.28319e+02 1.00000e+01 8.59000e+01 5.24733e-16
1.94292e+01 -2.00000e-06 8.85867e-10 6.28319e+02 1.00000e+01 8.59000e+01 7.55241e-16
2.47582e+01 -2.00000e-06 1.12884e-09 6.28319e+02 1.00000e+01 8.59000e+01 1.12355e-15
3.15487e+01 -2.00000e-06 1.43845e-09 6.28319e+02 1.00000e+01 8.59000e+01 1.77340e-15
4.02018e+01 -2.00000e-06 1.83298e-09 6.28319e+02 1.00000e+01 8.59000e+01 2.74839e-15
5.12281e+01 -2.00000e-06 2.33572e-09 6.28319e+02 1.00000e+01 8.59000e+01 4.39351e-15
6.52787e+01 -2.00000e-06 2.97635e-09 6.28319e+02 1.00000e+01 8.59000e+01 7.10699e-15
8.31830e+01 -2.00000e-06 3.79269e-09 6.28319e+02 1.00000e+01 8.59000e+01 1.16461e-14
