 names peaks_phase peaks_s source_file
392 1855+02 0.8893 0.3698 stripped-cleaned-images-003.txt
393 1855+09 0.0486 0.0003 stripped-cleaned-images-003.txt
394 1857_26 0.0163 0.0100 stripped-cleaned-images-003.txt
395 1859+01 0.0181 0.0052 stripped-cleaned-images-003.txt
396 1859+03 0.9040 0.5925 stripped-cleaned-images-003.txt
397 1859+07 1.3351 0.8598 stripped-cleaned-images-003.txt
398 1901_0906 1.1499 2.0491 stripped-cleaned-images-003.txt
399 1900+05 0.1675 0.1251 stripped-cleaned-images-003.txt
400 1900+06 0.0798 0.0537 stripped-cleaned-images-003.txt
401 1900+01 0.0192 0.0140 stripped-cleaned-images-003.txt
402 1900_06 0.8210 0.3546 stripped-cleaned-images-003.txt
403 1904+000_ 0.0543 0.0076 stripped-cleaned-images-003.txt
404 1904_1224 0.0040 0.0030 stripped-cleaned-images-003.txt
405 1902_01 0.0680 0.0438 stripped-cleaned-images-003.txt
406 1903+07 1.9633 1.2723 stripped-cleaned-images-003.txt
407 1904+06 0.0215 0.0057 stripped-cleaned-images-003.txt
408 1905+39 0.0181 0.0223 stripped-cleaned-images-003.txt
409 1907+00 0.0914 0.0930 stripped-cleaned-images-003.txt
410 1907+02 0.1617 0.1601 stripped-cleaned-images-003.txt
411 1907+10 0.2477 0.0703 stripped-cleaned-images-003.txt
412 1907+03 0.0670 0.1561 stripped-cleaned-images-003.txt
413 1907+12 0.0112 0.0161 stripped-cleaned-images-003.txt
414 1907_03 0.1922 0.0970 stripped-cleaned-images-003.txt
415 1911_111 0.0835 0.0003 stripped-cleaned-images-003.txt
416 1910+20 0.0062 0.0139 stripped-cleaned-images-003.txt
417 1911+13 0.0491 0.0256 stripped-cleaned-images-003.txt
418 1911_04 0.2658 0.2195 stripped-cleaned-images-003.txt
